id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;estado
1;29619;61443;neural Tajikistan;Pound;5996;65212;input;Loan markets;Canarias e-commerce
2;78867;13930;Won Humano SQL;website;2289;56907;solid Siria;Coche;Paradigma New Account
3;48257;65731;mobile Pequeño colaboración;back-end Distrito;20596;52118;Rojo;copying Camino;Adelante Mancha copying
4;52800;9735;moderador Account;sistémica reboot Genérico;15091;78975;Acero Rial program;website driver;input Heredado Public-key
5;47820;67330;Funcionario Jefe;Gris;59537;85862;Azul monetize Salida;Planificador Patatas Bacon;bypassing action-items Metal
6;29697;56580;microchip;conjunto Universal;75710;75077;Marroquinería models turn-key;vortals Tunez;Hormigon
7;3828;18425;Configurable Card Asistente;Práctico;74332;3687;Cambridgeshire Camiseta holistic;Soporte optimize;wireless navigate
8;12459;91305;quantifying Investment COM;system leverage back-end;44895;7559;Jefe Bricolaje Personal;Coche;Hormigon
9;28239;28085;Inteligente;Pequeño;25446;53943;Genérico Marroquinería;Parafarmacia Buckinghamshire Valenciana;Leone
10;3194;57951;mano didactica;red bluetooth Algodón;88921;55216;Madera SAS;Supervisor Camerún;Decoración Bedfordshire Bricolaje
